,aspergillus_flavus,aspergillus_nidulans,aspergillus_niger,blumeria_graminis,botrytis_cinerea,candida_albicans,coccidioides_posadasii,colletotrichum_higginsianum,cryptococcus_neoformans,saccharomyces_cerevisiae,schizosaccharomyces_pombe,trichoderma_reseei,verticillium_dahliae,yarrowia_lipolytica,zymoseptoria_tritici,fusarium_graminearum,trichophyton_rubrum,ustilago_maydis,fusarium_oxysporum,gaeumannomyces_graminis,grosmannia_clavigera,kluyveromyces_lactis,magnaporthe_oryzae,neurospora_crassa,pichia_membranifaciens,tuber_melanosporum
-190,0.0166666667,0.02,0.0055555556,0.0058823529,0.0095238095,0.0108433735,0.0031746032,0.04,0.0285714286,0.0094339623,0.01875,0.0021276596,0.0113207547,0,0.03,0,0.01,0.0095238095,0.0117647059,0,0.0031746032,0.0026315789,0,0.008,0.0070175439,0.0206896552
-189,0.0166666667,0.025,0.0055555556,0.0058823529,0.0142857143,0.013253012,0.0031746032,0.04,0.025,0.0056603774,0.0145833333,0.0021276596,0.0113207547,0,0.02,0,0.01,0.0095238095,0.0058823529,0.0052631579,0.0031746032,0.0026315789,0,0.008,0.0087719298,0.0206896552
-188,0.0166666667,0.025,0.0111111111,0.0058823529,0.0142857143,0.0168674699,0.0031746032,0.04,0.025,0.0094339623,0.0145833333,0.0021276596,0.0075471698,0,0.02,0,0.01,0.0095238095,0.0058823529,0.0105263158,0.0015873016,0.0052631579,0,0.008,0.0070175439,0.0172413793
-187,0.0125,0.02,0.0111111111,0,0.0142857143,0.0180722892,0.0031746032,0.04,0.025,0.0113207547,0.0166666667,0.0021276596,0.0075471698,0,0.02,0,0.01,0.0079365079,0.0058823529,0.0157894737,0.0015873016,0.0052631579,0,0.008,0.0070175439,0.0172413793
-186,0.0125,0.025,0.0111111111,0,0.0142857143,0.0168674699,0.0047619048,0.02,0.025,0.0094339623,0.0125,0.0021276596,0.0075471698,0,0.02,0,0.02,0.0063492063,0.0117647059,0.0210526316,0.0015873016,0.0052631579,0.0024390244,0.012,0.0070175439,0.0137931034
-185,0.0125,0.03,0.0111111111,0,0.0142857143,0.0180722892,0.0031746032,0.02,0.0321428571,0.0094339623,0.0145833333,0.0021276596,0.0113207547,0,0.02,0,0.02,0.0079365079,0.0117647059,0.0210526316,0.0015873016,0.0052631579,0.0048780488,0.012,0.0070175439,0.0172413793
-184,0.0208333333,0.025,0.0166666667,0,0.0142857143,0.021686747,0.0031746032,0.02,0.0285714286,0.0094339623,0.0145833333,0.0021276596,0.0075471698,0,0.02,0,0.02,0.0095238095,0.0117647059,0.0210526316,0.0031746032,0.0052631579,0.0048780488,0.012,0.0070175439,0.0172413793
-183,0.0208333333,0.025,0.0166666667,0,0.0142857143,0.0204819277,0.0047619048,0.02,0.025,0.0075471698,0.0125,0.0021276596,0.0056603774,0,0.02,0,0.02,0.0111111111,0.0117647059,0.0210526316,0.0047619048,0.0052631579,0.0048780488,0.012,0.0087719298,0.0137931034
-182,0.0208333333,0.035,0.0166666667,0,0.0238095238,0.0240963855,0.0095238095,0.02,0.0214285714,0.0075471698,0.0125,0.0021276596,0.0037735849,0,0.02,0,0.02,0.0111111111,0.0117647059,0.0210526316,0.0047619048,0.0052631579,0.0048780488,0.012,0.0087719298,0.0137931034
-181,0.0125,0.04,0.0277777778,0,0.019047619,0.0253012048,0.0079365079,0,0.0107142857,0.0075471698,0.0125,0.0021276596,0.0037735849,0,0.04,0,0.01,0.0111111111,0.0117647059,0.0210526316,0.0047619048,0.0052631579,0.0073170732,0.008,0.0105263158,0.0137931034
-180,0.0125,0.04,0.0277777778,0,0.0142857143,0.0289156627,0.0111111111,0,0.0071428571,0.0075471698,0.0104166667,0.0021276596,0.0056603774,0,0.04,0,0.01,0.0111111111,0.0058823529,0.0210526316,0.0063492063,0.0026315789,0.0073170732,0.004,0.0122807018,0.0137931034
-179,0.0166666667,0.04,0.0277777778,0,0.0095238095,0.0313253012,0.0142857143,0,0.0071428571,0.0075471698,0.0104166667,0.0021276596,0.0094339623,0,0.04,0,0.01,0.0111111111,0.0058823529,0.0157894737,0.0047619048,0.0026315789,0.0097560976,0.004,0.0105263158,0.0172413793
-178,0.0166666667,0.04,0.0222222222,0,0.0095238095,0.0301204819,0.0142857143,0.02,0.0107142857,0.0037735849,0.0125,0.0021276596,0.0094339623,0,0.02,0,0.01,0.0111111111,0.0058823529,0.0105263158,0.0063492063,0,0.0097560976,0.004,0.0087719298,0.0172413793
-177,0.0166666667,0.04,0.0222222222,0,0.0142857143,0.0301204819,0.0142857143,0.04,0.0178571429,0.0018867925,0.0104166667,0.0021276596,0.0094339623,0,0.02,0,0.01,0.0142857143,0.0058823529,0.0105263158,0.0079365079,0,0.012195122,0.004,0.0122807018,0.0172413793
-176,0.0166666667,0.035,0.0222222222,0,0.0142857143,0.0313253012,0.0126984127,0.04,0.0214285714,0.0018867925,0.0104166667,0.0021276596,0.0094339623,0,0.02,0,0,0.0142857143,0,0.0052631579,0.0095238095,0.0026315789,0.0097560976,0,0.0122807018,0.0172413793
-175,0.0166666667,0.03,0.0222222222,0,0.0142857143,0.0289156627,0.0126984127,0.04,0.0214285714,0.0018867925,0.0104166667,0,0.0056603774,0,0.03,0,0,0.0142857143,0,0.0052631579,0.0111111111,0.0026315789,0.0073170732,0.004,0.0140350877,0.0068965517
-174,0.0083333333,0.025,0.0222222222,0,0.0142857143,0.0265060241,0.0126984127,0.04,0.025,0.0018867925,0.0104166667,0,0.0075471698,0,0.04,0,0,0.0174603175,0,0.0052631579,0.0095238095,0.0026315789,0.0073170732,0.004,0.0157894737,0.0206896552
